部位,部位_読み,1文字目
CB壁,CBかべ,C
CB塀,CBへい,C
EXP.J,EXP.J,E
上裏,あげうら,あ
足洗い場,あしあらいば,あ
アスファルト,あすふぁると,あ
東屋屋根,あずまややね,あ
雨樋,あまどい,あ
網入りガラス,あみいりがらす,あ
網戸,あみど,あ
洗い場,あらいば,あ
アルミサッシ,あるみさっし,あ
安全柵,あんぜんさく,あ
安全庇,あんぜんひさし,あ
アンテナ,あんてな,あ
アンテナベースプレート,あんてなべーすぷれーと,あ
石積,いしつみ,い
石積擁壁,いしつみようへき,い
犬走り,いぬばしりり,い
インターロッキング,いんたーろっきんぐ,い
雨水桝,うすいます,う
エラスタイト,えらすたいと,え
縁石,えんせき,え
煙突,えんとつ,え
煙突口,えんとつこう,え
煙突蓋,えんとつふた,え
煙突屋根,えんとつやね,え
屋外階段,おくがいかいだん,お
屋上出入り口ドア,おくじょうでいりくちどあ,お
屋上点検口,おくじょうてんけんくち,お
押さえコンクリート,おさえこんくりーと,お
母屋,おもや,お
カーテンレール,かーてんれーる,か
ガードフェンス,がーどふぇんす,が
ガードレール,がーどれーるさび,が
開口部上裏,かいこうぶあげうら,か
階段,かいだん,か
階段上裏,かいだんあげうら,か
階段側桁,かいだんがわけた,か
階段蹴上,かいだんけあげ,か
階段沈下,かいだんちんか,か
階段手摺,かいだんてすり,か
階段手摺壁,かいだんてすりかべ,か
階段手摺基礎,かいだんてすりきそ,か
階段内壁,かいだんないへき,か
階段踏面,かいだんふみづら,か
外灯,がいとう,が
外灯カバー,がいとうかばー,が
外灯基礎,がいとうきそ,が
外灯支柱,がいとうしちゅう,が
外部階段,がいぶかいだん,が
開閉器,かいへいき,か
外壁,がいへき,が
外壁タイル,がいへきたいる,が
外壁ブロック,がいへきぶろっく,が
鏡,かがみ,か
鍵,かぎ,か
笠木,かさぎ,か
笠木下端,かさぎかたん,か
笠木ブロック,かさぎぶろっく,か
ガス器具,がすきぐ,が
ガスケット,がすけっと,が
ガス配管,がすはいかん,が
架台,かだい,か
架台コンクリート,かだいこんくりーと,か
架台コンクリート上裏,かだいこんくりーとあげうら,か
花壇,かだん,か
花壇CB塀,かだんCBへい,か
可動扉,かどうとびら,か
