劣化名,2文字,読み
ALC欠損,Aけ,ALCけっそんめじひびわれ えーえるしーけっそん
CB壁亀裂,Cき,CBかべきれつ しーびーきれつ
CB壁欠損,Cけ,CBかべけっそん しーびーかべけっそん
CB壁ひび割れ,Cひ,CBかべひびわれ しーびー
CB壁ひび割れ欠損,Cひ,CBかべひびわれけっそん しーびー
CB塀亀裂,Cき,CBへいきれつ しーびー
CB塀欠損,Cけ,CBへいけっそん しーびー
CB塀欠損塀ズレ,Cけ,CBへいけっそんへいずれ しーびー
CB塀隙間,Cす,CBへいすきま しーびーへいすきま
CB塀爆裂,Cば,CBへいばくれつ しーびー
CB塀破損,Cは,CBへいはそん しーびー
CB塀破損倒れ,Cは,CBへいはそんたおれ しーびーへいはそんたおれ
CB塀白華,Cは,CBへいはっか しーびーへいはっか
CB塀白華ずれ,Cは,CBへいはっかずれ しーびーへいはっかずれ
CB塀控え壁なし,Cひ,CBへいひかえかべなし しーびーへいひかえかべなし
CB塀ひび割れ,Cひ,CBへいひびわれ しーびーへいひびわれ
CB塀法不適合,Cほ,CBへいほうふてきごう しーびーへいほうふてきごう
CB塀補修跡ひび割れ,Cほ,CBへいほしゅうあとひびわれ しーびーへいほしゅうあとひびわれ
EXP.Jシーリングなし,Eし,EXP.Jしーりんぐなし えきすぱんしーりんぐなし
EXP.Jシーリング劣化,Eし,EXP.Jしーりんぐれっか えきすぱんしーりんぐれっか
EXP.J隙間,Eす,EXP.Jすきま えきすぱんすきま
EXP.J外れ,Eは,EXP.Jはずれ えきすぱんはずれ
EXP.Jプレートずれ,Eぷ,EXP.Jぷれーとずれ えきすぱんぷれーとずれ
EXPJ部シーリング劣化,Rし,EXPJぶしーりんぐれっか えきすぱんぶしーりんぐれっか
Pコン跡,P,Pこんあと ぴーこんあと
上裏爆裂,あば,あげうらばくれつ
上裏ひび割れ,あひ,あげうらひびわれ
上裏浮き,あう,あげうらうき
上裏欠損,あけ,あげうらけっそん
上裏露筋,あろ,あげうらろきん
上裏塗膜剥がれ,あと,あげうらとまくはがれ
上裏塗膜剥がれ白華,あと,あげうらとまくはがれはっか
上裏塗膜剥がれ浮き,あと,あげうらとまくはがれうき
上裏塗膜剥がれ漏水ひび割れ,あと,あげうらとまくはがれろうすいひびわれ
上裏塗膜浮き,あと,あげうらとまくうき
上裏塗膜浮き白華,あと,あげうらとまくうきはっか
上裏塗膜膨れ,あと,あげうらとまくふくれ
上裏塗り戻し箇所の鉄筋錆,あぬ,あげうらぬりもどしかしょのてっきんさび
上裏塗り戻し箇所の鉄筋錆ひび割れ,あぬ,あげうらぬりもどしかしょのてっきんさびひびわれ
上裏塗り戻し箇所鉄筋錆,あぬ,あげうらぬりもどしかしょてっきんさび
上裏塗り戻し箇所剥がれ,あぬ,あげうらぬりもどしかしょはがれ
上裏塗り戻し箇所爆裂,あぬ,あげうらぬりもどしかしょばくれつ
上裏塗り戻し鉄筋錆,あぬ,あげうらぬりもどしてっきんさび
上裏破損,あは,あげうらはそん
上裏白華,あは,あげうらじろはな
上裏梁爆裂,あば,あげうらはりばくれつ
上裏爆裂塗膜浮き,あば,あげうらばくれつとまくうき
上裏爆裂露筋,あば,あげうらばくれつろきん
上裏ひび割れ錆汁,あひ,あげうらひびわれさびじる
上裏ひび割れ塗膜剥がれ,あひ,あげうらひびわれとまくはがれ
上裏ひび割れ白華,あひ,あげうらひびわれはっか
上裏ひび割れ白華錆汁,あひ,あげうらひびわれはっかさびじる
上裏ひび割れ白華塗膜剥がれ,あひ,あげうらひびわれはっかとまくはがれ
上裏ひび割れ浮き,あひ,あげうらひびわれうき
上裏補修跡ひび割れ,あほ,あげうらほしゅうあとひびわれ
上裏補修跡ひび割れ浮き,あほ,あげうらほしゅうあとひびわれうき
上裏補修跡ひび割れ浮き鉄筋錆,あほ,あげうらほしゅうあとひびわれうきてっきんさび
上裏補修跡鉄筋錆,あほ,あげうらほしゅうあとてっきんさび
上裏補修跡爆裂,あほ,あげうらほしゅうあとばくれつ
上裏補修跡浮き,あほ,あげうらほしゅうあとうき
上裏補修跡露筋,あほ,あげうらほしゅうあとろきん
上裏補修跡露筋浮き,あほ,あげうらほしゅうあとろきんうき
上裏遊離石灰,あゆ,あげうらゆうりせっかい
上裏露筋仕上げ材剥がれ,あろ,あげうらろきんしあげざいはがれ
上裏露筋塗装剥がれ,あろ,あげうらろきんとそうはがれ
上裏露筋漏水ひび割れ,あろ,あげうらろきんろうすいひびわれ
上裏漏水ひび割れ,あろ,あげうらろうすいひびわれ
上裏漏水ひび割れ仕上げ材剥がれ,あろ,あげうらろうすいひびわれしあげざいはがれ
上裏漏水ひび割れ塗膜剥がれ,あろ,あげうらろうすいひびわれとまくはがれ
上裏漏水跡,あろ,あげうらろうすいあと
上裏漏水跡塗膜剥がれ,あろ,あげうらろうすいあととまくはがれ
上裏漏水塗膜剥がれ,あろ,あげうらろうすいとまくはがれ
アクリル板破損,あは,あくりるいたはそん
足洗い場コンクリートひび割れ,あひ,あしあらいいばこんくりーとひびわれ
アスファルト防水浮き,あう,あすふぁるとぼうすいうき
アスファルト舗装陥没,あか,あすふぁるとほそうかんぼつ
アスファルト舗装亀裂,あき,あすふぁるとほそうきれつ
アスファルト舗装亀裂地盤沈下,あき,あすふぁるとほそうきれつじばんちんか
アスファルト舗装欠損,あけ,あすふぁるとほそうけっそん
アスファルト舗装沈下,あち,あすふぁるとほそうちんか
アスファルト舗装ひび割れ,あひ,あすふぁるとほそうひびわれ
アスファルト舗装膨れ,あふ,あすふぁるとほそうふくれ
アスファルト舗装不陸,あふ,あすふぁるとほそうふりく
アスファルト舗装隆起,あり,あすふぁるとほそうりゅうき
東屋屋根破損,あは,あずまややねはそん
雨樋破損,あは,あまどいはそん
雨水枡落葉詰まり,あお,あまみずますおちばつまり
雨水桝陥没,あか,あまみずますかんぼつ
網入りガラス鉄線錆,あさ,あみいりりがらすてっせんさび
網入りガラス未使用,あみ,あみいりりがらすみしよう
網戸破損,あは,あみどはそん
網戸不良,あふ,あみどふりょう
洗い場ひび割れ,あひ,あらいばひびわれ
アルミサッシ変形,あへ,あるみさっしへんけい
安全柵錆,あさ,あんぜんさくさび
安全柵腐食,あふ,あんぜんさくふしょく
安全庇塗装剥がれ,あと,あんぜんひさしとそうはがれ
アンテナ避雷針支持金具腐食,あふ,あんてなひらいしんしじかなぐふしょく
アンテナ架台亀裂,あき,あんてなかだいきれつ
アンテナ架台爆裂,あば,あんてなかだいばくれつ
アンテナ金具外れ,あは,あんてなかなぐはずれ
アンテナ錆,あさ,あんてなさび
アンテナ支持金具錆,あさ,あんてなしじかなぐさび
アンテナ支持金具腐食,あふ,あんてなしじかなぐふしょく
アンテナ支線錆,あさ,あんてなしせんさび
アンテナ転倒,あて,あんてなてんとう
アンテナ止め金物錆,あさ,あんてなとめがねものさび
アンテナ破損,あは,あんてなはそん
アンテナ腐食,あふ,あんてなふしょく
アンテナベースプレート腐食,あふ,あんてなべーすぷれーとふしょく
案内板鉄部腐食脱落,あふ,あんないばんてつぶふしょくだつらく
犬走り亀裂,いき,いぬばしりりきれつ
犬走り沈下,いち,いぬばしりりちんか
犬走り欠損,いけ,いぬばしりりけっそん
犬走りひび割れ,いひ,いぬばしりりひびわれ
犬走り亀裂沈下,いき,いぬばしりりきれつちんか
犬走り沈下欠損,いち,いぬばしりりちんかけっそん
犬走り沈下欠損ひび割れ,いち,いぬばしりりちんかけっそんひびわれ
犬走り沈下ひび割れ,いち,いぬばしりりちんかひびわれ
犬走り露筋,いろ,いぬばしりりろきん
犬走り爆裂,いば,いぬばしりりばくれつ
犬走り破損,いは,いぬばしりりはそん
犬走りひび割れ浮き,いひ,いぬばしりりひびわれうき
犬走りひび割れ欠損,いひ,いぬばしりりひびわれけっそん
インターロッキング縁石崩壊,いほ,いんたーろっきんぐえんせきほうかい
インターロッキング陥没,いか,いんたーろっきんぐかんぼつ
インターロッキング沈下,いち,いんたーろっきんぐちんか
インターロッキング不陸,いふ,いんたーろっきんぐふりく
石積ズレ,いず,いしつみずれ
石積み擁壁ひび割れ,いひ,いしつみみようへきひびわれ
石積み擁壁ひび割れ欠損,いひ,いしつみみようへきひびわれけっそん
石積擁壁欠損,いけ,いしつみようへきけっそん
違法倉庫,,いほうそうこ
エラスタイト劣化,えれ,えらすたいとれっか
延焼の恐れがある部分にフロートガラス使用,えん,えんしょうのおそれがあるぶぶんにふろーとがらすしよう
延焼の恐れのある部分が防火設備となっていない,えん,えんしょうのおそれのあるぶぶんがぼうかせつびとなっていない
延焼の恐れのある部分の開口部にﾌﾛｰﾄガラスを使用,えん,えんしょうのおそれのあるぶぶんのかいこうぶにふろ゜とがらすをしよう
縁石欠損,えけ,えんせきけっそん
縁石隙間,えす,えんせきすきま
縁石破損,えは,えんせきはそん
煙突内側露筋,えろ,えんとつうちがわろきん
煙突口ひび割れ,えひ,えんとつくちひびわれ
煙突爆裂,えば,えんとつばくれつ
煙突白華,えは,えんとつはっか
煙突ひび割れ,えひ,えんとつひびわれ
屋外階段錆,おさ,おくがいかいだんさび
屋外階段鉄部錆,おさ,おくがいかいだんてつぶさび
屋上出入り口ドア腐食,おふ,おくじょうでいりくちどあふしょく
屋上点検口腐食,おふ,おくじょうてんけんくちさびふしょく
屋上点検口施錠なし,おせ,おくじょうてんけんくちせじょうなし
押さえコンクリートひび割れ,おひ,おさえこんくりーとひびわれ
落葉堆積,,おちばたいせき
母屋錆,おさ,おもやさび
折板屋根錆,せや,せっぱんやねさび
折板屋根腐食,せふ,せっぱんやねふしょく
階段ひび割れ,かひ,かいだんひびわれ
階段亀裂,かき,かいだんきれつ
階段破損,かは,かいだんはそん
開口部上裏爆裂,かば,かいこうぶあげうらばくれつ
開口塞ぎ板固定不良,かこ,かいこうふさぎいたこていふりょう
階段上裏ひび割れ,かひ,かいだんあげうらひびわれ
階段上裏ひび割れ浮き,かひ,かいだんあげうらひびわれうき
階段側桁漏水ひび割れ,かろ,かいだんがわけたろうすいひびわれ
階段基礎欠損,かけ,かいだんきそけっそん
階段亀裂浮き,かき,かいだんきれつうき
階段亀裂欠損,かき,かいだんきれつけっそん
階段区画なし,かく,かいだんくかくなし
階段蹴上破損,かは,かいだんけあげはそん
階段蹴込ひび割れ,かひ,かいだんけこみひびわれ
階段欠損,かけ,かいだんけっそん
階段コンクリート亀裂,かき,かいだんこんくりーときれつ
階段錆,かさ,かいだんさび
階段沈下,かち,かいだんちんか
階段露筋,かろ,かいだんろきん
階段手摺壁亀裂,かき,かいだんてすりかべきれつ
階段手摺壁露筋,かろ,かいだんてすりかべろきん
階段手摺壁塗膜浮き,かと,かいだんてすりかべぬりまくうき
階段手摺壁爆裂,かば,かいだんてすりかべばくれつ
階段手摺壁ひび割れ,かひ,かいだんてすりかべひびわれ
階段手摺基礎欠損,かけ,かいだんてすりきそけっそん
階段手摺錆,かさ,かいだんてすりさび
階段手摺なし,かて,かいだんてすりなし
階段手摺腐食,かふ,かいだんてすりふしょく
階段手摺未設置,かて,かいだんてすりみせつち
階段床モルタル欠損段差,かけ,かいだんとこもるたるけっそんだんさ
階段塗膜浮き,かと,かいだんとまくうき
階段塗膜剥がれ,かと,かいだんとまくはがれ
階段内壁亀裂,かき,かいだんないへききれつ
階段内壁塗膜剥がれ,かと,かいだんないへきとまくはがれ
階段白華,かは,かいだんはっか
階段ひび割れ浮き,かひ,かいだんひびわれうき
階段ひび割れ欠損,かひ,かいだんひびわれけっそん
階段ひび割れ白華,かひ,かいだんひびわれはっか
階段腐食,かふ,かいだんふしょく
階段踏面露筋,かろ,かいだんふみづらろきん
階段踏面爆裂,かば,かいだんふみづらばくれつ
階段室上裏爆裂,かば,かいだんむろかみうらばくれつ
カーテンレール破損,かは,かーてんれーるはそん
外壁浮き,がう,がいへきうき
外壁爆裂,がば,がいへきばくれつ
外壁ひび割れ,がひ,がいへきひびわれ
外壁網目状ひび割れ,があ,がいへきあみめじょうのひびわれ
外壁石張継手亀裂,がき,がいへきいしちょうつぎてきれつ
外壁浮き欠損,がう,がいへきうきけっそん
外壁亀裂,がき,がいへききれつ
外壁亀裂白華,がき,がいへききれつはっか
外壁欠損,がけ,がいへきけっそん
外壁錆汁,がさ,がいへきさびじる
外壁錆汁白華,がさ,がいへきさびじるはっか
外壁タイル浮き,がた,がいへきたいるうき
外壁タイル欠損,がた,がいへきたいるけっそん
外壁タイルひび割れ,がた,がいへきたいるひびわれ
外壁タイルひび割れ白華,がた,がいへきたいるひびわれはっか
外壁露筋,がろ,がいへきろきん
外壁塗膜浮き,がと,がいへきとまくうき
外壁塗膜剥がれ,がと,がいへきとまくはがれ
外壁塗膜剥がれ膨れ,がと,がいへきとまくはがれふくれ
外壁塗膜膨れ,がと,がいへきとまくふくれ
外壁爆裂面台欠損,がば,がいへきばくれつめんだいけっそん
外壁破損,がは,がいへきはそん
外壁破損巾木爆裂,がは,がいへきはそんはばきばくれつ
外壁白華,がは,がいへきはっか
外壁パネル外れ腐食,がぱ,がいへきぱねるはずれふしょく
外壁ひび割れ浮き,がひ,がいへきひびわれうき
外壁ひび割れ浮き欠損,がひ,がいへきひびわれうきけっそん
外壁ひび割れ浮き錆,がひ,がいへきひびわれうきさび
外壁ひび割れ浮き錆汁,がひ,がいへきひびわれうきさびじる
外壁ひび割れ浮き白華,がひ,がいへきひびわれうきはっか
外壁ひび割れ欠損,がひ,がいへきひびわれけっそん
外壁ひび割れ錆汁,がひ,がいへきひびわれさびじる
外壁ひび割れ錆汁浮き,がひ,がいへきひびわれさびじるうき
外壁ひび割れ露筋,がひ,がいへきひびわれろきん
外壁ひび割れ白華,がひ,がいへきひびわれはっか
外壁ひび割れ白華錆汁,がひ,がいへきひびわれはっかさびじる
外壁ひび割れ遊離石灰,がひ,がいへきひびわれゆうりせっかい
外壁補修跡浮き,がほ,がいへきほしゅうあとうき
外壁補修跡亀裂,がほ,がいへきほしゅうあときれつ
外壁補修跡爆裂,がほ,がいへきほしゅうあとばくれつ
外壁補修跡ひび割れ,がほ,がいへきほしゅうあとひびわれ
外壁補修跡ひび割れ浮き,がほ,がいへきほしゅうあとひびわれうき
外壁モルタル浮きひび割れ,がう,がいへきもるたるうきひびわれ
外壁モルタルひび割れ欠損,がひ,がいへきもるたるひびわれけっそん
外壁劣化,がれ,がいへきれっか
外壁漏水ひび割れ,がろ,がいへきろうすいひびわれ
外灯傾き,がか,がいとうかたむき
外灯カバーの外れ,がは,がいとうかばーのはずれ
外灯基礎ひび割れ,がひ,がいとうきそひびわれ
外灯錆,がさ,がいとうさび
外灯支柱錆,がさ,がいとうしちゅうさび
外灯支柱塗装剥がれ,がと,がいとうしちゅうとそうはがれ
外灯支柱腐食,がふ,がいとうしちゅうふしょく
外灯腐食,がふ,がいとうふしょく
外灯変形,がへ,がいとうへんけい
外灯ポール支柱錆,がさ,がいとうぽーるしちゅうさび
ガードフェンス変形,がへ,がーどふぇんすへんけい
ガードレール錆,がれ,がーどれーるさび
外部階段塗膜剥がれ錆,がと,がいぶかいだんとまくはがれさび
外部階段腐食による穴,がふ,がいぶかいだんふしょくによるあな
開閉器錆,かさ,かいへいうつわさび
鏡ひび割れ,かひ,かがみひびわれ
火気使用室にフロートガラス使用,かき,かきしようしつにふろーとがらすしよう
崖から土砂流出,がど,がけからどしゃりゅうしゅつ
笠木ひび割れ,かひ,かさぎひびわれ
笠木浮き,かう,かさぎうき
笠木欠損,かけ,かさぎけっそん
笠木爆裂,かば,かさぎばくれつ
笠木ひび割れ浮き,かひ,かさぎひびわれうき
笠木下端露筋,かろ,かさぎかたんろきん
笠木塗膜剥がれ,かと,かさぎとまくはがれ
笠木剥がれ,かは,かさぎはがれ
笠木剥落,かは,かさぎはくらく
ガス器具錆,がさ,がすきぐさび
ガスケット外れ,がは,がすけっとはずれ
ガスケット劣化,がれ,がすけっとれっか
ガスケット劣化破損,がれ,がすけっとれっかはそん
ガス配管塗装剥がれ,がと,がすはいかんとそうはがれ
架台コンクリート網目状のひび割れ,かあ,かだいこんくりーとあみめじょうのひびわれ
架台コンクリート上裏爆裂,かば,かだいこんくりーとあげうらばくれつ
架台コンクリートひび割れ浮き,かひ,かだいこんくりーとひびわれうき
架台爆裂,かば,かだいばくれつ
架台腐食,かふ,かだいふしょく
架台ボルト錆,かさ,かだいぼるとさび
花壇CB塀傾斜,かけ,かだんCBへいけいしゃ
花壇欠損,かけ,かだんけっそん
花壇ひび割れ,かひ,かだんひびわれ
花壇ひび割れ浮き,かひ,かだんひびわれうき
花壇目地開き,かめ,かだんめじひらき
花壇レンガひび割れ,かひ,かだんれんがひびわれ
可動扉開閉不良,かか,かどうとびらかいへいふりょう
金網錆,かさ,かなあみさび
金具錆,かさ,かなぐさび
金具破損,かは,かなぐはそん
金物錆,かさ,かなものさび
金物外れ,かは,かなものはずれ
カラープレート外れ,かは,からーぷれーとはずれ
ガラリ錆,がさ,がらりさび
ガラリ破損,がは,がらりはそん
ガラリ塞ぎ,がふ,がらりふさぎ
ガラリ腐食,がふ,がらりふしょく
ガラリ閉鎖,がへ,がらりへいさ
ガラリ変形,がへ,がらりへんけい
側桁亀裂,がき,がわけたきれつ
側桁爆裂,がば,がわけたばくれつ
換気口錆,かさ,かんきくちさび
換気扇カバー外れ,かか,かんきせんかばーはずれ
感知器カバーなし,かか,かんちきかばーなし
感知器不良,かふ,かんちきふりょう
看板架台ひび割れ,かひ,かんばんかだいひびわれ
看板錆,かさ,かんばんさび
看板支柱腐食,かふ,かんばんしちゅうふしょく
看板取付金物腐食,かふ,かんばんとりつけかなものふしょく
看板腐食,かふ,かんばんふしょく
基礎沈下,きち,きそちんか
基礎巾木亀裂,きき,きそはばききれつ
基礎巾木欠損,きけ,きそはばきけっそん
基礎巾木ひび割れ,きひ,きそはばきひびわれ
基礎巾木外壁ひび割れ,きひ,きそはばきがいへきひびわれ
基礎巾木網目状のひび割れ,きあ,きそはばきあみめじょうのひびわれ
基礎巾木浮きひび割れ,きう,きそはばきうきひびわれ
基礎巾木欠損犬走りひび割れ,きけ,きそはばきけっそんいぬばしりりひびわれ
基礎巾木ひび割れ欠損,きひ,きそはばきひびわれけっそん
基礎モルタルひび割れ,きひ,きそもるたるひびわれ
危害防止装置設置なし下部手動シャッター,きが,きがいぼうしそうちせっちなしかぶしゅどうしゃったー
危害防止装置なし下部手動シャッター,きが,きがいぼうしそうちなしかぶしゅどうしゃったー
危害防止装置不良装置前に配管,きが,きがいぼうしそうちふりょうそうちまえにはいかん
基礎コンクリートひび割れ白華,きひ,きそこんくりーとひびわれはっか
金属板横葺き錆,きさ,きんぞくばんよこふきさび
金属フェンス傾き,きか,きんぞくふぇんすかたむき
沓脱石欠損,くけ,くつぬぎいしけっそん
沓脱石破損,くは,くつぬぎいしばそん
車止め欠損,くけ,くるまどめめけっそん
車止め変形,くへ,くるまどめめへんけい
クレセント破損,くは,くれせんとはそん
クロス剥がれ,くは,くろすはがれ
蹴上ひび割れ浮き,けひ,けあげひびわれうき
蹴上ひび割れ白華,けひ,けあげひびわれはっか
掲示板傾き,けか,けいじばんかたむき
掲場台架台亀裂浮き,けき,けいばだいかだいきれつうき
掲場台亀裂浮き,けき,けいばだいきれつうき
間知ブロック隙間,けす,けんちぶろっくすきま
間知ブロック擁壁欠損,けけ,けんちぶろっくようへきけっそん
間知ブロック擁壁ずれ,けず,けんちぶろっくようへきずれ
間知ブロック擁壁破損,けは,けんちぶろっくようへきはそん
間知ブロック擁壁ひび割れ,けひ,けんちぶろっくようへきひびわれ
間知ブロック擁壁ひび割れズレ欠損,けひ,けんちぶろっくようへきひびわれずれけっそん
鋼製建具錆,こさ,こうせいたてぐさび
鋼製建具腐食,こふ,こうせいたてぐふしょく
鋼製扉錆,こさ,こうせいとびらさび
